type,value
Domain,7zip.com
Domain,7zip.cloud
Domain,afn360.com
Domain,soc.hero-sms.co	
Domain,neo.herosms.co	
Domain,flux.smshero.co	
Domain,nova.smshero.ai	
Domain,zest.hero-sms.ai	
Domain,apex.herosms.ai	
Domain,mint.smshero.com	
Domain,vivid.smshero.vip	
Domain,spark.herosms.io	
Domain,prime.herosms.vip	
Domain,glide.smshero.cc	
Domain,pulse.herosms.cc
Domain,google.com
IP,104.21.57.71
IP,172.67.160.241
IP,79.127.221.47
IP,84.17.37.1
IP,89.187.169.66
IP,138.199.12.70
IP,156.146.44.213
IP,195.181.170.79
IP,195.181.175.120
IP,43.243.170.20
IP,79.127.221.41
IP,79.127.221.56
IP,79.127.241.51
IP,95.173.197.212
IP,89.187.169.66
IP,84.17.56.88
sha256,63396fa92aa010e543e21cd8cb1bcccc
sha256,2009b69852a9b20bbbe85061e1ef9186
sha256,e2022cedcea9b5ea81764996732a9880
sha256,ddf75cc7e322d75de77b17c8ec887975
sha256,c4edf28177e72d1bfc482cf4d05a156b
