type,value
Domain,naturalreflrections[.]com
Domain,hethuisjeindevallei[.]com
Domain,maquillalandia[.]com
Domain,clarkehealthfitness[.]com
Domain,thespeakersmag[.]com
Domain,recallmedofficial[.]com
Domain,commercialinsurancesavings[.]com
Domain,youridentitywatch[.]com
Domain,t[.]co
Domain,nuzhn[.]cn
Domain,vicseat[.]ratsx[.]cn
Domain,foundesque[.]nuzhn[.]cn
Domain,ratsx[.]cn
Domain,certainious[.]gmrgyi[.]cn
IP,89[.]187[.]163[.]133
IP,103[.]231[.]45[.]188
IP,94[.]230[.]127[.]180
IP,114[.]119[.]175[.]241
IP,110[.]43[.]84[.]217
IP,199[.]48[.]130[.]178
IP,88[.]208[.]241[.]37
IP,164[.]138[.]39[.]129
IP,103[.]177[.]10[.]111
IP,45[.]6[.]197[.]101
IP,14[.]225[.]240[.]23
IP,85[.]172[.]55[.]85
IP,91[.]192[.]68[.]117
IP,190[.]234[.]22[.]102
IP,202[.]76[.]168[.]52
IP,203[.]3[.]112[.]2
IP,59[.]4[.]235[.]79
IP,66[.]44[.]26[.]166
IP,101[.]10[.]251[.]184
IP,111[.]68[.]97[.]201
IP,162[.]214[.]3[.]183
IP,191[.]177[.]182[.]206
IP,202[.]76[.]190[.]249
IP,15[.]204[.]151[.]147
IP,114[.]134[.]88[.]74
IP,202[.]76[.]183[.]124
IP,8[.]244[.]151[.]70
IP,58[.]246[.]79[.]38
IP,66[.]98[.]29[.]237
IP,71[.]120[.]242[.]222
IP,103[.]155[.]196[.]22
IP,121[.]161[.]53[.]127
IP,173[.]77[.]226[.]33
IP,181[.]43[.]210[.]190
IP,187[.]49[.]174[.]37
IP,190[.]236[.]255[.]154
IP,200[.]55[.]101[.]118
IP,202[.]76[.]134[.]94
IP,14[.]100[.]104[.]49
IP,27[.]240[.]218[.]166
IP,37[.]231[.]219[.]11
IP,49[.]82[.]52[.]90
IP,49[.]178[.]203[.]252
IP,87[.]0[.]35[.]176
IP,94[.]205[.]57[.]61
IP,103[.]118[.]113[.]40
IP,149[.]167[.]237[.]78
IP,175[.]192[.]48[.]8
IP,189[.]122[.]240[.]142
IP,190[.]120[.]109[.]148
IP,202[.]76[.]180[.]142
IP,207[.]254[.]71[.]62
IP,39[.]58[.]124[.]93
IP,47[.]205[.]193[.]75
IP,76[.]169[.]59[.]43
IP,103[.]21[.]166[.]173
IP,106[.]219[.]151[.]95
IP,111[.]240[.]147[.]63
IP,112[.]149[.]226[.]72
IP,140[.]213[.]130[.]75
IP,176[.]169[.]218[.]25
IP,181[.]64[.]73[.]160
IP,186[.]41[.]25[.]26
IP,194[.]31[.]159[.]75
IP,199[.]48[.]129[.]114
IP,202[.]76[.]138[.]11
IP,202[.]76[.]138[.]169
IP,202[.]76[.]142[.]6
IP,202[.]76[.]142[.]221
IP,202[.]76[.]169[.]84
IP,202[.]76[.]169[.]213
IP,202[.]76[.]170[.]197
IP,202[.]76[.]171[.]11
IP,202[.]76[.]172[.]35
IP,202[.]76[.]172[.]123
IP,202[.]76[.]174[.]125
IP,202[.]76[.]186[.]83
IP,202[.]76[.]188[.]71
IP,202[.]76[.]190[.]22
IP,1[.]46[.]204[.]130
IP,35[.]142[.]105[.]161
IP,35[.]144[.]92[.]72
IP,36[.]152[.]150[.]243
IP,39[.]51[.]211[.]176
IP,47[.]17[.]216[.]11
IP,49[.]156[.]45[.]218
IP,49[.]237[.]190[.]240
IP,66[.]114[.]34[.]156
IP,72[.]143[.]234[.]11
IP,76[.]93[.]53[.]156
IP,82[.]167[.]46[.]44
IP,101[.]162[.]65[.]230
IP,103[.]83[.]190[.]105
IP,103[.]178[.]154[.]5
IP,103[.]205[.]128[.]10
IP,111[.]82[.]182[.]246
IP,114[.]47[.]130[.]46
IP,116[.]89[.]44[.]83
IP,117[.]55[.]251[.]6
IP,119[.]73[.]113[.]63
IP,139[.]135[.]33[.]39
IP,180[.]218[.]128[.]147
IP,181[.]42[.]131[.]82
IP,181[.]121[.]227[.]186
IP,181[.]123[.]117[.]94
IP,181[.]168[.]17[.]190
IP,182[.]189[.]21[.]228
IP,184[.]151[.]190[.]131
IP,186[.]114[.]121[.]125
IP,186[.]194[.]26[.]50
IP,187[.]92[.]41[.]186
IP,188[.]70[.]21[.]153
IP,190[.]43[.]154[.]209
IP,190[.]101[.]149[.]74
IP,190[.]160[.]146[.]13
IP,190[.]174[.]75[.]128
IP,201[.]221[.]178[.]19
IP,202[.]76[.]130[.]216
IP,202[.]76[.]131[.]64
IP,202[.]76[.]133[.]89
IP,202[.]76[.]141[.]243
IP,202[.]76[.]142[.]246
IP,202[.]76[.]143[.]22
IP,202[.]76[.]143[.]247
IP,202[.]76[.]171[.]40
IP,202[.]76[.]171[.]169
IP,202[.]76[.]173[.]187
IP,202[.]76[.]173[.]241
IP,202[.]76[.]185[.]41
IP,202[.]76[.]186[.]3
IP,202[.]76[.]186[.]218
IP,202[.]76[.]188[.]8
IP,202[.]76[.]190[.]106
IP,202[.]76[.]190[.]240
IP,222[.]184[.]87[.]153
IP,1[.]170[.]104[.]36
IP,14[.]232[.]198[.]10
IP,37[.]37[.]14[.]165
IP,50[.]222[.]120[.]243
IP,61[.]76[.]95[.]217
IP,76[.]32[.]241[.]76
IP,76[.]187[.]76[.]0
IP,78[.]242[.]187[.]81
IP,89[.]109[.]23[.]80
IP,91[.]150[.]189[.]122
IP,92[.]39[.]18[.]137
IP,100[.]12[.]69[.]21
IP,102[.]216[.]145[.]213
IP,103[.]116[.]191[.]4
IP,103[.]225[.]38[.]146
IP,106[.]200[.]3[.]241
IP,111[.]82[.]58[.]150
IP,111[.]242[.]174[.]165
IP,121[.]46[.]70[.]110
IP,177[.]238[.]21[.]239
IP,180[.]177[.]9[.]168
IP,181[.]55[.]70[.]54
IP,181[.]170[.]149[.]39
IP,186[.]169[.]126[.]218
IP,186[.]190[.]106[.]255
IP,188[.]236[.]48[.]242
IP,202[.]76[.]136[.]22
IP,202[.]76[.]136[.]113
IP,202[.]76[.]139[.]107
IP,202[.]76[.]139[.]214
IP,202[.]76[.]141[.]23
IP,202[.]76[.]143[.]53
IP,202[.]76[.]190[.]138
IP,202[.]76[.]191[.]113
IP,221[.]202[.]27[.]194
IP,24[.]46[.]119[.]38
IP,39[.]14[.]40[.]195
IP,39[.]44[.]78[.]99
IP,42[.]79[.]214[.]91
IP,68[.]106[.]90[.]98
IP,73[.]115[.]108[.]27
IP,94[.]178[.]204[.]217
IP,94[.]232[.]11[.]178
IP,98[.]22[.]39[.]100
IP,101[.]115[.]12[.]143
IP,101[.]180[.]15[.]1
IP,108[.]160[.]125[.]44
IP,113[.]183[.]99[.]223
IP,116[.]68[.]203[.]3
IP,118[.]201[.]234[.]102
IP,119[.]148[.]17[.]193
IP,129[.]227[.]45[.]102
IP,136[.]111[.]239[.]61
IP,157[.]173[.]199[.]44
IP,160[.]25[.]185[.]66
IP,178[.]210[.]130[.]89
IP,179[.]51[.]61[.]204
IP,180[.]177[.]105[.]6
IP,181[.]234[.]134[.]13
IP,182[.]189[.]21[.]165
IP,185[.]169[.]252[.]215
IP,186[.]48[.]255[.]180
IP,189[.]216[.]167[.]54
IP,190[.]143[.]29[.]51
IP,197[.]186[.]8[.]180
IP,202[.]76[.]130[.]94
IP,202[.]76[.]135[.]100
IP,202[.]76[.]141[.]101
IP,202[.]76[.]174[.]90
IP,202[.]76[.]180[.]226
IP,202[.]76[.]183[.]188
IP,202[.]76[.]188[.]207
IP,202[.]76[.]189[.]94
IP,218[.]211[.]160[.]223
IP,220[.]247[.]128[.]178
IP,221[.]150[.]235[.]211
IP,35[.]204[.]161[.]141
IP,34[.]12[.]219[.]94
IP,72[.]14[.]178[.]161
IP,165[.]227[.]107[.]51
IP,159[.]203[.]64[.]33
IP,45[.]56[.]73[.]37
